rating,offer,price,mrp,results,title_name
,68% off,₹532,"1,709",https://www.flipkart.com/hidelink-men-brown-genuine-leather-wallet/p/itmf3zdh63x5yffz?pid=WCWEZ3YYHKWPWNFS&lid=LSTWCWEZ3YYHKWPWNFSOZJIQG&marketplace=FLIPKART&srno=b_9_360&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=en_zJBAt%2BcvUXHb%2B5fZHZnt%2BH%2Bf6mlI5pHRSkTvUIb62IXbauml8R5hAfdQM%2B9IxDR9WppcI5fzHb6XyH4M7g0lbQ%3D%3D,"Men Brown Genuine Leather Wallet,  (6 Card Slots)"
,80% off,₹199,998,https://www.flipkart.com/skkfashion-boys-tan-fabric-money-clip/p/itmf4xhg3fg468fd?pid=WCWF4X8CGANMA9RW&lid=LSTWCWF4X8CGANMA9RWUKISDN&marketplace=FLIPKART&srno=b_9_359&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=b87cd99a-89cd-46ce-80f4-210137266f1e.WCWF4X8CGANMA9RW.SEARCH,"Boys Tan Fabric Money Clip,  (3 Card Slots)"
,61% off,₹500,"1,299",https://www.flipkart.com/elios-women-blue-artificial-leather-wallet/p/itmfd5f8syrmgd7a?pid=WCWFD4UAVFNMFGN9&lid=LSTWCWFD4UAVFNMFGN9EM0BXV&marketplace=FLIPKART&srno=b_9_358&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=e7bf1ff5-b91b-42d3-ad4b-52c096ae656a.WCWFD4UAVFNMFGN9.SEARCH,"Women Blue Artificial Leather Wallet,  (11 Card Slots)"
,80% off,₹197,999,https://www.flipkart.com/samtroh-men-casual-tan-artificial-leather-wallet/p/itmf3zffugabxy5d?pid=WCWF3A54B5APBQUT&lid=LSTWCWF3A54B5APBQUTZTI4SS&marketplace=FLIPKART&srno=b_3_119&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=0524337e-0623-48f3-9b05-02d0185efc2d.WCWF3A54B5APBQUT.SEARCH,"Men Casual Tan Artificial Leather Wallet,  (5 Card Slots)"
,88% off,₹119,999,https://www.flipkart.com/billiondeal-royal-design-bi-fold-high-quality-men-s-leather-wallet-8-card-holder/p/itmezgtawz2rgpfe?pid=CHDEZGGHEM7V33DS&lid=LSTCHDEZGGHEM7V33DSHML1CA&marketplace=FLIPKART&srno=b_3_81&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=902549b1-84f8-4bd6-b5fb-fa099080f597.CHDEZGGHEM7V33DS.SEARCH,"Billiondeal Royal Design bi-Fold High Quality Men's Leather Wallet & 8 Card Holder,  (Set of 1, Tan)"
,80% off,₹233,"1,195",https://www.flipkart.com/sa-enterprises-men-black-artificial-leather-wallet/p/itmf3zf2wghanugh?pid=WCWF3SRNFGWKUFQK&lid=LSTWCWF3SRNFGWKUFQK9ZO6PX&marketplace=FLIPKART&srno=b_3_118&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=ecce32c5-41b4-4549-a905-27f49fc56d05.WCWF3SRNFGWKUFQK.SEARCH,"Men Black Artificial Leather Wallet,  (9 Card Slots)"
,81% off,₹189,999,https://www.flipkart.com/wenzest-boys-tan-artificial-leather-wallet/p/itmf3zekbxgv3kmq?pid=WCWFYVXXPEUBF49H&lid=LSTWCWFYVXXPEUBF49HOJL9EY&marketplace=FLIPKART&srno=b_3_117&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=569fd750-a5ef-40e0-93df-2a05ca9ef675.WCWFYVXXPEUBF49H.SEARCH,"Boys Tan Artificial Leather Wallet,  (3 Card Slots)"
,75% off,₹312,"1,299",https://www.flipkart.com/dezire-crafts-men-casual-tan-artificial-leather-wallet/p/itmf3zexcbyusnsz?pid=WCWEX32MC7V3Y2YA&lid=LSTWCWEX32MC7V3Y2YA7IXO5S&marketplace=FLIPKART&srno=b_3_116&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=80ea0ca9-44ea-4473-9bde-478ad57e269c.WCWEX32MC7V3Y2YA.SEARCH,"Men Casual Tan Artificial Leather Wallet,  (7 Card Slots)"
,62% off,₹754,"2,025",https://www.flipkart.com/my-pac-db-boys-casual-black-genuine-leather-wallet/p/itmeamznzphpnf7m?pid=WCWEAMZNRWZ8EKRE&lid=LSTWCWEAMZNRWZ8EKREUWJ1FT&marketplace=FLIPKART&srno=b_3_114&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=en_aojAsE7bEe7x1AiWKpVOQfjsjwyhnSHPXd6A%2FmNZeir%2FPHMMtijnN%2FYwVg%2BFncA5SjE8OgqxPviJ%2Bq2v7yl7fw%3D%3D,"Boys Casual Black Genuine Leather Wallet,  (6 Card Slots)"
,80% off,₹199,999,https://www.flipkart.com/wildantler-boys-tan-artificial-leather-wallet/p/itmf3zewkgkdzshb?pid=WCWFFX7B5FGSYZZA&lid=LSTWCWFFX7B5FGSYZZALZBHGQ&marketplace=FLIPKART&srno=b_3_113&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=473a4054-0932-49c4-a394-73ff6e59d072.WCWFFX7B5FGSYZZA.SEARCH,"Boys Tan Artificial Leather Wallet,  (6 Card Slots)"
